Price,Close,High,Low,Open,Volume,adjclose_15,true_adjclose_15,buy_profit,sell_profit
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,,,,
Date,,,,,,,,,
2022-03-24,163.64950561523438,164.11849975585938,160.0500030517578,163.74949645996094,56798000,155.72456,154.8736682114065,0.0,8.775833129882812
2022-04-05,164.05499267578125,168.11050415039062,163.26600646972656,167.7415008544922,53728000,163.16861,139.72923820755548,0.0,24.325759887695312
2022-04-08,154.4604949951172,157.36849975585938,154.2310028076172,156.75,46002000,160.1403,122.00203448441535,-32.458457946777344,0.0
2022-04-18,152.78500366210938,154.0395050048828,150.25050354003906,151.52349853515625,46514000,152.99797,110.95298297582637,-41.83202362060547,0.0
2022-04-28,144.59649658203125,145.9375,140.3000030517578,142.17799377441406,117316000,144.35945,105.93888759158322,0.0,38.65760803222656
2022-05-09,108.78900146484375,114.0,107.95700073242188,111.3125,128124000,121.26269,115.90280892590886,7.113807678222656,0.0
2022-05-10,108.85900115966797,112.64250183105469,107.1709976196289,111.25,105434000,118.19508,121.85754609245208,12.998542785644531,0.0
2022-05-12,106.93049621582031,110.78050231933594,102.40550231933594,102.75,132026000,112.54846,123.79463018304467,16.8641357421875,0.0
2022-05-19,107.31900024414062,110.03399658203125,106.19300079345703,106.28050231933594,88142000,109.4507,113.05298331601232,5.733985900878906,0.0
2022-06-06,124.79000091552734,128.99000549316406,123.80999755859375,125.25,135269000,118.0317,113.13270052521608,0.0,11.657302856445312
2022-06-07,123.0,124.0999984741211,120.62999725341797,122.01000213623047,85156700,119.61742,107.03447086165578,0.0,15.965530395507812
2022-06-10,109.6500015258789,114.5,109.05000305175781,113.41999816894531,87266000,120.33511,107.25368938584036,-2.3963088989257812,0.0
2022-06-15,107.66999816894531,109.05999755859375,103.52999877929688,103.86000061035156,85011100,113.19912,114.22878554388748,6.558784484863281,0.0
2022-07-06,114.33000183105469,115.4800033569336,112.01000213623047,113.20999908447266,66958900,110.13359,116.92914328708983,0.0,-2.5991439819335938
2022-07-08,115.54000091552734,116.58000183105469,113.69000244140625,114.5999984741211,45719700,111.90142,134.45655984087324,0.0,-18.91655731201172
2022-07-13,110.4000015258789,111.77999877929688,106.01000213623047,107.02999877929688,61353800,112.51922,135.76191203651885,25.361915588378906,0.0
2022-07-15,113.55000305175781,115.58999633789062,111.58999633789062,112.5,84317800,112.183945,139.63807200759632,0.0,-26.08807373046875
2022-07-19,118.20999908447266,118.94999694824219,114.02999877929688,115.69999694824219,60990000,113.15586,137.59536223469624,0.0,-19.38536834716797
2022-07-21,124.62999725341797,124.8499984741211,121.26000213623047,123.19999694824219,60239900,115.98201,143.38468961315485,0.0,-18.75469207763672
